match_id,team,shots_on_goal,shots_off_goal,total_shots,blocked_shots,shots_inside_box,shots_outside_box,fouls,corner_kicks,offsides,ball_possession_pct,yellow_cards,red_cards,goalkeeper_saves,total_passes,passes_accurate,passes_pct,expected_goals,goals_prevented,espn_top_xg,espn_keeper_xg_conceded,espn_top_duels_won,espn_top_big_chances_created,espn_top_big_chances_missed,fotmob_expected_goals,fotmob_expected_goals_conceded,fotmob_expected_goals_non_penalty,fotmob_expected_goals_on_target,fotmob_big_chances,fotmob_big_chances_conceded,fotmob_big_chances_missed,fotmob_total_shots,fotmob_shots_on_target,fotmob_shots_inside_box,fotmob_touches_opp_box,fotmob_detail_coverage,fotmob_goal_xg_delta,fotmob_xgot_xg_delta,fotmob_xg_per_shot,fotmob_big_chance_rate,fotmob_big_chance_conversion,fotmob_chance_waste_rate,fotmob_underlying_threat,fotmob_finishing_signal,fotmob_waste_signal,fotmob_low_possession_punch,fotmob_sterile_control_risk,fotmob_defensive_resistance,fotmob_chance_control_signal,fotmob_unrewarded_pressure,fotmob_clinical_chance_signal,source,notes
537342,Scotland,0,,6,3,,,11,2,1,41.1,1,0,1,456,388,90,,,0.13,0.99,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760445,ESPN summary API used to fill blank fields.
537343,Brazil,9,,21,5,,,11,7,1,54,2,0,5,605,564,90,,,3.06,1.04,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760465,ESPN summary API used to fill blank fields.
537343,Scotland,5,,14,3,,,10,7,0,46,1,0,5,500,450,90,,,0.63,4.33,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760465,ESPN summary API used to fill blank fields.
537344,Haiti,2,,9,3,,,18,1,0,30.9,3,0,8,247,198,80,,,0.12,3.76,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760464,ESPN summary API used to fill blank fields.
537344,Morocco,11,,22,5,,,10,9,5,69.1,0,0,1,541,477,90,,,1.34,0.67,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760464,ESPN summary API used to fill blank fields.
537345,Paraguay,1,,9,5,,,17,1,2,34.7,5,0,3,319,232,70,,,0.20,1.42,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93088; ESPN event 760417,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537345,United States,6,,16,4,,,13,3,1,65.3,1,0,1,598,509,90,,,0.65,,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93088; ESPN event 760417,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537346,Australia,4,,9,1,,,12,5,3,28.4,0,0,8,271,201,70,,,0.08,1.36,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93107; ESPN event 760421,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537346,Turkey,8,,30,12,,,4,8,1,71.6,1,0,2,704,635,90,,,0.26,1.18,9,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,theScore event 93107; ESPN event 760421,Imported from theScore Team Comparison. theScore labels shots as shots on goal; total shots are left blank unless another source provides them. ESPN summary API used to fill blank fields.
537347,Paraguay,2,,7,2,,,15,0,3,21.5,1,1,5,178,96,50,,,0.09,2.17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760443,ESPN summary API used to fill blank fields.
537347,Turkey,5,,32,12,,,14,12,2,78.5,1,0,1,629,559,90,,,0.22,0.32,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ESPN event 760443,ESPN summary API used to fill blank fields.
